3000	1	0.6308	0.239
3050	1	0.6337	0.2518
3100	1	0.6486	0.2585
3150	1	0.6573	0.2684
3200	1	0.6698	0.2775
3250	1	0.6817	0.2878
3300	1	0.6841	0.2999
3350	1	0.6963	0.3105
3400	1	0.7036	0.3187
3450	1	0.713	0.3306
3500	1	0.7164	0.3405
3550	1	0.7303	0.3495
3600	1	0.7388	0.3625
3650	1	0.7411	0.3753
3700	1	0.7537	0.3845
3750	1	0.7616	0.3967
3800	1	0.7639	0.4102
3850	1	0.7664	0.4186
3900	1	0.7787	0.4317
3950	1	0.7906	0.4461
4000	1	0.7993	0.4568
4050	1	0.8029	0.4681
4100	1	0.7945	0.4681
4150	1	0.8131	0.4915
4200	1	0.8201	0.5047
4250	1	0.8251	0.5165
4300	1	0.8334	0.5295
4350	1	0.8385	0.5403
4400	1	0.8453	0.5519
4450	1	0.8504	0.5638
4500	1	0.8573	0.5774
4550	1	0.8655	0.5881
4600	1	0.8665	0.6008
4650	1	0.8688	0.6128
4700	1	0.8771	0.6262
4750	1	0.8838	0.6404
4800	1	0.8822	0.6507
4850	1	0.8858	0.6604
4900	1	0.8982	0.6774
4950	1	0.9006	0.6852
5000	1	0.9027	0.6962
5050	1	0.9064	0.7119
5100	1	0.9091	0.7211
5150	1	0.9133	0.7294
5200	1	0.92	0.743
5250	1	0.917	0.7532
5300	1	0.9309	0.7704
5350	1	0.9306	0.7772
5400	1	0.936	0.7908
5450	1	0.9313	0.7933
5500	1	0.9234	0.7974
5550	1	0.9455	0.8235
5600	1	0.9504	0.835
5650	1	0.9538	0.8467
5700	1	0.9543	0.8544
5750	1	0.9605	0.868
5800	1	0.9632	0.8789
5850	1	0.9661	0.8881
5900	1	0.9667	0.8994
5950	1	0.968	0.9108
6000	1	0.9748	0.917
6050	1	0.986	0.9302
6100	1	0.9798	0.9404
6150	1	0.9849	0.9519
6200	1	0.9866	0.9609
6250	1	0.9875	0.9702
6300	1	0.9899	0.9818
6350	1	0.9956	0.9897
6400	1	0.9947	1
6450	1	0.9955	1
6500	1	0.9819	1
6550	1	0.9755	1
6600	1	0.9667	1
6650	0.9555	0.963	1
6700	0.9488	0.9402	1
6750	0.9386	0.9483	1
6800	0.9284	0.9457	1
6850	0.9199	0.9379	1
6900	0.9145	0.9322	1
6950	0.9089	0.9279	1
7000	0.8972	0.9208	1
7050	0.8915	0.9148	1
7100	0.8848	0.9204	1
7150	0.8773	0.9046	1
7200	0.8684	0.8993	1
7250	0.8605	0.8941	1
7300	0.8508	0.8917	1
7350	0.8493	0.8845	1
7400	0.8421	0.8768	1
7450	0.8421	0.8768	1
7500	0.8421	0.8768	1
7550	0.823	0.8672	1
7600	0.8261	0.8606	1
7650	0.8209	0.8599	1
7700	0.8045	0.8552	1
7750	0.8045	0.8552	1
7800	0.8006	0.8459	1
7850	0.7957	0.8463	1
7900	0.7885	0.8424	1
7950	0.7887	0.8338	1
8000	0.7769	0.8326	1
